document_id,sentence_id,country,indicator,value,unit,period,observation_type,source_sentence,source_url,annotation_status
INS_CE_2025_12,S1,TUN,Exportations de biens,63695.1,million TND,2025,observed,Exportations tunisiennes : 63695.1 MD sur 2025.,https://www.ins.tn/publication/commerce-exterieur-aux-prix-courants-decembre-2025,VERIFIED
INS_CE_2025_12,S1,TUN,Exportations de biens,62077.6,million TND,2024,observed,Exportations de comparaison : 62077.6 MD sur 2024.,https://www.ins.tn/publication/commerce-exterieur-aux-prix-courants-decembre-2025,VERIFIED
INS_CE_2025_12,S2,TUN,Importations de biens,85495.4,million TND,2025,observed,Importations tunisiennes : 85495.4 MD sur 2025.,https://www.ins.tn/publication/commerce-exterieur-aux-prix-courants-decembre-2025,VERIFIED
INS_CE_2025_12,S2,TUN,Importations de biens,81005.2,million TND,2024,observed,Importations de comparaison : 81005.2 MD sur 2024.,https://www.ins.tn/publication/commerce-exterieur-aux-prix-courants-decembre-2025,VERIFIED
INS_CE_2025_12,S3,TUN,Solde commercial,-21800.3,million TND,2025,observed,Solde commercial : -21800.3 MD sur 2025.,https://www.ins.tn/publication/commerce-exterieur-aux-prix-courants-decembre-2025,VERIFIED
INS_CE_2025_12,S3,TUN,Solde commercial,-18927.6,million TND,2024,observed,Solde commercial de comparaison : -18927.6 MD sur 2024.,https://www.ins.tn/publication/commerce-exterieur-aux-prix-courants-decembre-2025,VERIFIED
INS_CE_2025_12,S4,TUN,Taux de couverture des importations par les exportations,74.5,%,2025,observed,Taux de couverture : 74.5 % sur 2025.,https://www.ins.tn/publication/commerce-exterieur-aux-prix-courants-decembre-2025,VERIFIED
INS_CE_2025_12,S4,TUN,Taux de couverture des importations par les exportations,76.6,%,2024,observed,Taux de couverture de comparaison : 76.6 % sur 2024.,https://www.ins.tn/publication/commerce-exterieur-aux-prix-courants-decembre-2025,VERIFIED
INS_CE_2025_11,S1,TUN,Exportations de biens,57916.6,million TND,2025-M01:M11,observed,Exportations tunisiennes : 57916.6 MD sur 2025-M01:M11.,https://www.ins.tn/publication/commerce-exterieur-aux-prix-courants-novembre-2025,VERIFIED
INS_CE_2025_11,S1,TUN,Exportations de biens,57056.9,million TND,2024-M01:M11,observed,Exportations de comparaison : 57056.9 MD sur 2024-M01:M11.,https://www.ins.tn/publication/commerce-exterieur-aux-prix-courants-novembre-2025,VERIFIED
INS_CE_2025_11,S2,TUN,Importations de biens,78085.1,million TND,2025-M01:M11,observed,Importations tunisiennes : 78085.1 MD sur 2025-M01:M11.,https://www.ins.tn/publication/commerce-exterieur-aux-prix-courants-novembre-2025,VERIFIED
INS_CE_2025_11,S2,TUN,Importations de biens,73815.4,million TND,2024-M01:M11,observed,Importations de comparaison : 73815.4 MD sur 2024-M01:M11.,https://www.ins.tn/publication/commerce-exterieur-aux-prix-courants-novembre-2025,VERIFIED
INS_CE_2025_11,S3,TUN,Solde commercial,-20168.5,million TND,2025-M01:M11,observed,Solde commercial : -20168.5 MD sur 2025-M01:M11.,https://www.ins.tn/publication/commerce-exterieur-aux-prix-courants-novembre-2025,VERIFIED
INS_CE_2025_11,S3,TUN,Solde commercial,-16758.5,million TND,2024-M01:M11,observed,Solde commercial de comparaison : -16758.5 MD sur 2024-M01:M11.,https://www.ins.tn/publication/commerce-exterieur-aux-prix-courants-novembre-2025,VERIFIED
INS_CE_2025_09,S1,TUN,Exportations de biens,46419.8,million TND,2025-M01:M09,observed,Exportations tunisiennes : 46419.8 MD sur 2025-M01:M09.,https://www.ins.tn/publication/commerce-exterieur-aux-prix-courants-septembre-2025,VERIFIED
INS_CE_2025_09,S1,TUN,Exportations de biens,46404.6,million TND,2024-M01:M09,observed,Exportations de comparaison : 46404.6 MD sur 2024-M01:M09.,https://www.ins.tn/publication/commerce-exterieur-aux-prix-courants-septembre-2025,VERIFIED
INS_CE_2025_09,S2,TUN,Importations de biens,63148.1,million TND,2025-M01:M09,observed,Importations tunisiennes : 63148.1 MD sur 2025-M01:M09.,https://www.ins.tn/publication/commerce-exterieur-aux-prix-courants-septembre-2025,VERIFIED
INS_CE_2025_09,S2,TUN,Importations de biens,59902.0,million TND,2024-M01:M09,observed,Importations de comparaison : 59902.0 MD sur 2024-M01:M09.,https://www.ins.tn/publication/commerce-exterieur-aux-prix-courants-septembre-2025,VERIFIED
INS_CE_2025_09,S3,TUN,Solde commercial,-16728.3,million TND,2025-M01:M09,observed,Solde commercial : -16728.3 MD sur 2025-M01:M09.,https://www.ins.tn/publication/commerce-exterieur-aux-prix-courants-septembre-2025,VERIFIED
INS_CE_2025_09,S3,TUN,Solde commercial,-13497.4,million TND,2024-M01:M09,observed,Solde commercial de comparaison : -13497.4 MD sur 2024-M01:M09.,https://www.ins.tn/publication/commerce-exterieur-aux-prix-courants-septembre-2025,VERIFIED
INS_CE_2025_08,S1,TUN,Exportations de biens,41372.4,million TND,2025-M01:M08,observed,Exportations tunisiennes : 41372.4 MD sur 2025-M01:M08.,https://www.ins.tn/publication/commerce-exterieur-aux-prix-courants-aout-2025,VERIFIED
INS_CE_2025_08,S1,TUN,Exportations de biens,41512.1,million TND,2024-M01:M08,observed,Exportations de comparaison : 41512.1 MD sur 2024-M01:M08.,https://www.ins.tn/publication/commerce-exterieur-aux-prix-courants-aout-2025,VERIFIED
INS_CE_2025_08,S2,TUN,Importations de biens,56012.3,million TND,2025-M01:M08,observed,Importations tunisiennes : 56012.3 MD sur 2025-M01:M08.,https://www.ins.tn/publication/commerce-exterieur-aux-prix-courants-aout-2025,VERIFIED
INS_CE_2025_08,S2,TUN,Importations de biens,53436.8,million TND,2024-M01:M08,observed,Importations de comparaison : 53436.8 MD sur 2024-M01:M08.,https://www.ins.tn/publication/commerce-exterieur-aux-prix-courants-aout-2025,VERIFIED
INS_CE_2025_08,S3,TUN,Solde commercial,-14640.0,million TND,2025-M01:M08,observed,Solde commercial : -14640.0 MD sur 2025-M01:M08.,https://www.ins.tn/publication/commerce-exterieur-aux-prix-courants-aout-2025,VERIFIED
INS_CE_2025_08,S3,TUN,Solde commercial,-11924.7,million TND,2024-M01:M08,observed,Solde commercial de comparaison : -11924.7 MD sur 2024-M01:M08.,https://www.ins.tn/publication/commerce-exterieur-aux-prix-courants-aout-2025,VERIFIED
INS_CE_2025_06,S1,TUN,Exportations de biens,31773.7,million TND,2025-H1,observed,Exportations tunisiennes : 31773.7 MD sur 2025-H1.,https://www.ins.tn/publication/commerce-exterieur-aux-prix-courants-juin-2025,VERIFIED
INS_CE_2025_06,S1,TUN,Exportations de biens,31953.8,million TND,2024-H1,observed,Exportations de comparaison : 31953.8 MD sur 2024-H1.,https://www.ins.tn/publication/commerce-exterieur-aux-prix-courants-juin-2025,VERIFIED
INS_CE_2025_06,S2,TUN,Importations de biens,41674.2,million TND,2025-H1,observed,Importations tunisiennes : 41674.2 MD sur 2025-H1.,https://www.ins.tn/publication/commerce-exterieur-aux-prix-courants-juin-2025,VERIFIED
INS_CE_2025_06,S2,TUN,Importations de biens,39971.2,million TND,2024-H1,observed,Importations de comparaison : 39971.2 MD sur 2024-H1.,https://www.ins.tn/publication/commerce-exterieur-aux-prix-courants-juin-2025,VERIFIED
INS_CE_2025_06,S3,TUN,Solde commercial,-9900.5,million TND,2025-H1,observed,Solde commercial : -9900.5 MD sur 2025-H1.,https://www.ins.tn/publication/commerce-exterieur-aux-prix-courants-juin-2025,VERIFIED
INS_CE_2025_06,S3,TUN,Solde commercial,-8017.4,million TND,2024-H1,observed,Solde commercial de comparaison : -8017.4 MD sur 2024-H1.,https://www.ins.tn/publication/commerce-exterieur-aux-prix-courants-juin-2025,VERIFIED
INS_CE_2025_05,S1,TUN,Exportations de biens,26831.5,million TND,2025-M01:M05,observed,Exportations tunisiennes : 26831.5 MD sur 2025-M01:M05.,https://www.ins.tn/publication/commerce-exterieur-aux-prix-courants-mai-2025,VERIFIED
INS_CE_2025_05,S1,TUN,Exportations de biens,26750.0,million TND,2024-M01:M05,observed,Exportations de comparaison : 26750.0 MD sur 2024-M01:M05.,https://www.ins.tn/publication/commerce-exterieur-aux-prix-courants-mai-2025,VERIFIED
INS_CE_2025_05,S2,TUN,Importations de biens,35198.7,million TND,2025-M01:M05,observed,Importations tunisiennes : 35198.7 MD sur 2025-M01:M05.,https://www.ins.tn/publication/commerce-exterieur-aux-prix-courants-mai-2025,VERIFIED
INS_CE_2025_05,S2,TUN,Importations de biens,33159.7,million TND,2024-M01:M05,observed,Importations de comparaison : 33159.7 MD sur 2024-M01:M05.,https://www.ins.tn/publication/commerce-exterieur-aux-prix-courants-mai-2025,VERIFIED
INS_CE_2025_05,S3,TUN,Solde commercial,-8367.2,million TND,2025-M01:M05,observed,Solde commercial : -8367.2 MD sur 2025-M01:M05.,https://www.ins.tn/publication/commerce-exterieur-aux-prix-courants-mai-2025,VERIFIED
INS_CE_2025_05,S3,TUN,Solde commercial,-6409.8,million TND,2024-M01:M05,observed,Solde commercial de comparaison : -6409.8 MD sur 2024-M01:M05.,https://www.ins.tn/publication/commerce-exterieur-aux-prix-courants-mai-2025,VERIFIED
INS_CE_2025_04,S1,TUN,Exportations de biens,20725.2,million TND,2025-M01:M04,observed,Exportations tunisiennes : 20725.2 MD sur 2025-M01:M04.,https://www.ins.tn/publication/commerce-exterieur-aux-prix-courants-avril-2025,VERIFIED
INS_CE_2025_04,S1,TUN,Exportations de biens,21245.2,million TND,2024-M01:M04,observed,Exportations de comparaison : 21245.2 MD sur 2024-M01:M04.,https://www.ins.tn/publication/commerce-exterieur-aux-prix-courants-avril-2025,VERIFIED
INS_CE_2025_04,S2,TUN,Importations de biens,28019.3,million TND,2025-M01:M04,observed,Importations tunisiennes : 28019.3 MD sur 2025-M01:M04.,https://www.ins.tn/publication/commerce-exterieur-aux-prix-courants-avril-2025,VERIFIED
INS_CE_2025_04,S2,TUN,Importations de biens,25980.0,million TND,2024-M01:M04,observed,Importations de comparaison : 25980.0 MD sur 2024-M01:M04.,https://www.ins.tn/publication/commerce-exterieur-aux-prix-courants-avril-2025,VERIFIED
INS_CE_2025_04,S3,TUN,Solde commercial,-7294.1,million TND,2025-M01:M04,observed,Solde commercial : -7294.1 MD sur 2025-M01:M04.,https://www.ins.tn/publication/commerce-exterieur-aux-prix-courants-avril-2025,VERIFIED
INS_CE_2025_04,S3,TUN,Solde commercial,-4734.8,million TND,2024-M01:M04,observed,Solde commercial de comparaison : -4734.8 MD sur 2024-M01:M04.,https://www.ins.tn/publication/commerce-exterieur-aux-prix-courants-avril-2025,VERIFIED
INS_IPC_2025_12,S1,TUN,Taux d'inflation des prix à la consommation,4.9,%,2025-M12,observed,"Inflation en décembre 2025 : 4,9 %.",https://www.ins.tn/publication/indice-des-prix-la-consommation-decembre-2025,VERIFIED
INS_IPC_2025_12,S1,TUN,Taux d'inflation des prix à la consommation,5.3,%,2025,observed,"Inflation moyenne de l'année 2025 : 5,3 %.",https://www.ins.tn/publication/indice-des-prix-la-consommation-decembre-2025,VERIFIED
INS_IPC_2025_12,S1,TUN,Taux d'inflation des prix à la consommation,7.0,%,2024,observed,"Inflation moyenne de l'année 2024 : 7,0 %.",https://www.ins.tn/publication/indice-des-prix-la-consommation-decembre-2025,VERIFIED
INS_IPC_2025_12,S2,TUN,Taux d'inflation des prix à la consommation - alimentation,6.1,%,2025-M12,observed,"Prix alimentaires en glissement annuel : +6,1 %.",https://www.ins.tn/publication/indice-des-prix-la-consommation-decembre-2025,VERIFIED
INS_IPC_2025_12,S2,TUN,Variation annuelle des prix de la viande d'agneau,17.3,%,2025-M12,observed,"Viande d'agneau : +17,3 % sur un an.",https://www.ins.tn/publication/indice-des-prix-la-consommation-decembre-2025,VERIFIED
INS_IPC_2025_12,S2,TUN,Variation annuelle des prix des fruits frais,16.0,%,2025-M12,observed,"Fruits frais : +16,0 % sur un an.",https://www.ins.tn/publication/indice-des-prix-la-consommation-decembre-2025,VERIFIED
INS_IPC_2025_12,S2,TUN,Variation annuelle des prix des légumes frais,14.0,%,2025-M12,observed,"Légumes frais : +14,0 % sur un an.",https://www.ins.tn/publication/indice-des-prix-la-consommation-decembre-2025,VERIFIED
INS_IPC_2025_12,S2,TUN,Variation annuelle des prix de la viande bovine,10.6,%,2025-M12,observed,"Viande bovine : +10,6 % sur un an.",https://www.ins.tn/publication/indice-des-prix-la-consommation-decembre-2025,VERIFIED
INS_IPC_2025_12,S2,TUN,Variation annuelle des prix des poissons frais,9.9,%,2025-M12,observed,"Poissons frais : +9,9 % sur un an.",https://www.ins.tn/publication/indice-des-prix-la-consommation-decembre-2025,VERIFIED
INS_IPC_2025_12,S2,TUN,Variation annuelle des prix des huiles alimentaires,-14.8,%,2025-M12,observed,"Huiles alimentaires : -14,8 % sur un an.",https://www.ins.tn/publication/indice-des-prix-la-consommation-decembre-2025,VERIFIED
INS_IPC_2025_12,S3,TUN,Taux d'inflation sous-jacente,4.9,%,2025-M12,observed,"Inflation sous-jacente : 4,9 % en décembre 2025.",https://www.ins.tn/publication/indice-des-prix-la-consommation-decembre-2025,VERIFIED
INS_IPC_2025_12,S3,TUN,Taux d'inflation sous-jacente,5.0,%,2025-M11,observed,"Inflation sous-jacente : 5,0 % en novembre 2025.",https://www.ins.tn/publication/indice-des-prix-la-consommation-decembre-2025,VERIFIED
INS_IPC_2025_12,S4,TUN,Variation mensuelle de l'indice des prix à la consommation,0.2,%,2025-M12,observed,"IPC : +0,2 % en décembre 2025 par rapport à novembre.",https://www.ins.tn/publication/indice-des-prix-la-consommation-decembre-2025,VERIFIED
